אדרבה,ההפך,דברי תורה,חוסר סדר,אמר רבי,ההפך
אהייא,הקול שהחמור משמיע,אהיה,על איזה,אנחנו,על איזה
אוזיף,זייף מטבעות,הלווה,הוסיף,תבשיל אווז,הלווה
אוכם,אתכם,אוכף,הלכו,שחור,שחור
אוקי,בסדר,משחק ילדים,שם חיבה,תעמיד,תעמיד
אור,אש,ראיה,חלון,קפיצה,אש
אורחא,הכנסת אורחים,דרך,אור חזק,פתוח,דרך
אורייתא,שותף,התורה הקדושה,אמר,קרבנות,התורה הקדושה
אורתא,מרגל,בוקר,ערב,יודע,ערב
אורתה,רפת,שדה,נעל אותו,הוריש אותה,הוריש אותה
אושפיזא,חג הסוכות,בית רפואה,אורח,מגדל,אורח
אזדא,הולכת,בונה בית,שולחן,כוונה טובה,הולכת
אזל,ניגון,הלך,נהיה זול,אוכל,הלך
אחרינא,אותו דבר,שם של צמח,כרם גפן,אחר,אחר
אטו,מרכבה,משום - בגלל,למה,האומנם,משום - בגלל
אטו,האם,אטב כביסה,איפה,אנחנו,האם
אי,לא,אי בים,היכן,אם,אם
אי הכי,הכי הרבה,אפילו,אם כך,אין הבדל,אם כך
אי נמי,או גם,שנאמר,בזמן שישן,היא הלכה,או גם
איבעיא להו,הביע דעתו,נשאלה להם שאלה,אכלו בשר,שתקו,נשאלה להם שאלה
איברא,אמת,נכד,נברא,המצאה,אמת
איגלאי,גלי הים,בצורת עיגול,נתגלה,איגלו,נתגלה
אידי ואידי,אדר ראשון ושני,זה וזה,יהודי,איפה ולמה,זה וזה
אידך,האחר,אדים,עדיין,אומר,האחר
אידכר,דקירה,אם,אלא,נזכר,נזכר
איידי,אגב,היהודי,אחר,רצון,אגב
איכא,אין,דומה,יש,איפה,יש
איכא בינייהו,ההבדל ביניהם,הבניין ההוא,הסברה הראשונה,דומה לו,ההבדל ביניהם
איכא דאמרי,נשיאת כדים,יש שואלים,יש שאומרים,רוצה לשמוח,יש שאומרים
איכא למימר,בניית כדים,יש לומר,אמירת תודה,למה,יש לומר
אימא,אימא,זריז,יראה,תאמר,תאמר
אימת,מתי,פחד,אמה - מידה,אם,מתי
אין,לא,בתוך,כן,בחוץ,כן
איני,שאלתך לא מובנת,תירוצך מסתדר,בוודאי,האומנם כך,האומנם כך
איניש,בן אדם,הר גבוה,חבר,חולה,בן אדם
איסורא,שידוכים,קל,איסור,לראות,איסור
איפוך,תהפוך,תוכיח,שמיכה,גלגל,תהפוך
איפכא מסתברא,הפוך את המסננת,דבריך הגיוניים,חשב לומר,מסתבר ההפך,מסתבר ההפך
איצטריך,לא צריך,צריך,בריאות,רווחה,צריך
אישתעי,שתה יין,תשובה,פסק דין,סיפר,סיפר
איתיביה,תירץ אותו,הקשה עליו,שיבח אותו,כמעט טבע,הקשה עליו
